Date,Ticker,TimeBarStart,OpenBarTime,OpenBidPrice,OpenBidSize,OpenAskPrice,OpenAskSize,FirstTradeTime,FirstTradePrice,FirstTradeSize,HighBidTime,HighBidPrice,HighBidSize,HighAskTime,HighAskPrice,HighAskSize,HighTradeTime,HighTradePrice,HighTradeSize,LowBidTime,LowBidPrice,LowBidSize,LowAskTime,LowAskPrice,LowAskSize,LowTradeTime,LowTradePrice,LowTradeSize,CloseBarTime,CloseBidPrice,CloseBidSize,CloseAskPrice,CloseAskSize,LastTradeTime,LastTradePrice,LastTradeSize,MinSpread,MaxSpread,CancelSize,VolumeWeightPrice,NBBOQuoteCount,TradeAtBid,TradeAtBidMid,TradeAtMid,TradeAtMidAsk,TradeAtAsk,TradeAtCrossOrLocked,Volume,TotalTrades,FinraVolume,FinraVolumeWeightPrice,UptickVolume,DowntickVolume,RepeatUptickVolume,RepeatDowntickVolume,UnknownTickVolume,TradeToMidVolWeight,TradeToMidVolWeightRelative,TimeWeightBid,TimeWeightAsk
20200130,AMZN,04:00,04:00:00.000000000,,,,,04:00:00.031596722,1850.00,89,04:00:00.877833332,1845.00,300,04:00:00.032621003,1922.34,100,04:00:38.351096516,1853.00,8,04:00:00.032578971,1811.00,200,04:00:00.752946492,1850.00,100,04:00:00.988734820,1848.90,1,04:00:59.999999999,1845.00,300,1854.89,100,04:00:38.351096516,1853.00,8,5.00,111.34,,1850.19406,53,0,0,0,12,0,0,101,6,0,,8,1,0,3,89,29.30693,0.03485,1844.90358,1854.00965
20200130,AMZN,04:01,04:01:00.000000000,1845.00,300,1854.89,100,,,,04:01:00.000000000,1845.00,300,04:01:07.742686783,1855.00,300,,,,04:01:00.000000000,1845.00,300,04:01:00.000000000,1854.89,100,,,,04:01:59.999999999,1845.00,300,1854.89,100,,,,9.89,10.00,,,32,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,,1845.00,1854.95081
20200130,AMZN,04:02,04:02:00.000000000,1845.00,300,1854.89,100,04:02:33.940726382,1851.89,10,04:02:00.000000000,1845.00,300,04:02:17.694632102,1855.00,300,04:02:33.940726382,1851.89,10,04:02:00.000000000,1845.00,300,04:02:27.734782300,1854.00,100,04:02:33.940726382,1851.89,10,04:02:59.999999999,1845.00,300,1855.00,300,04:02:33.940726382,1851.89,10,9.00,10.00,,1851.89,10,0,0,0,10,0,0,10,1,0,,0,10,0,0,0,239.00,0.26556,1845.00,1854.4788
20200130,AMZN,04:03,04:03:00.000000000,1845.00,300,1855.00,300,04:03:07.050446713,1846.37,9,04:03:00.000000000,1845.00,300,04:03:00.000000000,1855.00,300,04:03:32.444218030,1851.00,20,04:03:00.000000000,1845.00,300,04:03:00.000000000,1855.00,300,04:03:07.050446713,1846.37,9,04:03:59.999999999,1845.00,300,1855.00,300,04:03:59.931152440,1846.67,9,10.00,10.00,,1848.87789,0,0,18,0,20,0,0,38,3,0,,20,18,0,0,0,-112.21053,-0.11221,1845.00,1855.00
20200130,AMZN,04:04,04:04:00.000000000,1845.00,300,1855.00,300,,,,04:04:00.000000000,1845.00,300,04:04:00.000000000,1855.00,300,,,,04:04:00.000000000,1845.00,300,04:04:30.158800098,1854.89,100,,,,04:04:59.999999999,1845.00,300,1855.00,300,,,,9.89,10.00,,,8,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,,1845.00,1854.97933
20200130,AMZN,04:05,04:05:00.000000000,1845.00,300,1855.00,300,,,,04:05:00.000000000,1845.00,300,04:05:00.000000000,1855.00,300,,,,04:05:00.000000000,1845.00,300,04:05:00.000000000,1855.00,300,,,,04:05:59.999999999,1845.00,300,1855.00,300,,,,10.00,10.00,,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,,1845.00,1855.00
20200130,AMZN,04:06,04:06:00.000000000,1845.00,300,1855.00,300,04:06:14.591239933,1850.00,1,04:06:00.000000000,1845.00,300,04:06:00.000000000,1855.00,300,04:06:14.591239933,1850.00,1,04:06:00.000000000,1845.00,300,04:06:00.000000000,1855.00,300,04:06:14.591239933,1850.00,1,04:06:59.999999999,1845.00,300,1855.00,300,04:06:30.825465502,1850.00,1,10.00,10.00,,1850.00,0,0,0,2,0,0,0,2,2,0,,1,0,1,0,0,0.00,0.00,1845.00,1855.00
20200130,AMZN,04:07,04:07:00.000000000,1845.00,300,1855.00,300,04:07:00.474470861,1850.00,3,04:07:00.000000000,1845.00,300,04:07:00.000000000,1855.00,300,04:07:00.474470861,1850.00,3,04:07:00.000000000,1845.00,300,04:07:00.000000000,1855.00,300,04:07:23.846434950,1847.34,16,04:07:59.999999999,1845.00,300,1855.00,300,04:07:56.486118366,1850.00,4,10.00,10.00,,1848.22625,0,0,17,7,0,0,0,24,4,0,,5,16,3,0,0,-177.375,-0.17738,1845.00,1855.00
20200130,AMZN,04:08,04:08:00.000000000,1845.00,300,1855.00,300,,,,04:08:00.000000000,1845.00,300,04:08:00.000000000,1855.00,300,,,,04:08:00.000000000,1845.00,300,04:08:00.000000000,1855.00,300,,,,04:08:59.999999999,1845.00,300,1855.00,300,,,,10.00,10.00,,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,,1845.00,1855.00
20200130,AMZN,04:09,04:09:00.000000000,1845.00,300,1855.00,300,,,,04:09:00.000000000,1845.00,300,04:09:00.000000000,1855.00,300,,,,04:09:00.000000000,1845.00,300,04:09:00.000000000,1855.00,300,,,,04:09:59.999999999,1845.00,300,1855.00,300,,,,10.00,10.00,,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,,1845.00,1855.00
20200130,AMZN,04:10,04:10:00.000000000,1845.00,300,1855.00,300,04:10:20.930750643,1853.00,4,04:10:00.000000000,1845.00,300,04:10:00.000000000,1855.00,300,04:10:20.930750643,1853.00,4,04:10:00.000000000,1845.00,300,04:10:00.000000000,1855.00,300,04:10:20.930750643,1853.00,4,04:10:59.999999999,1845.00,300,1855.00,300,04:10:20.934284828,1853.00,1,10.00,10.00,,1853.00,0,0,0,0,5,0,0,5,2,0,,4,0,1,0,0,300.00,0.30,1845.00,1855.00
20200130,AMZN,04:11,04:11:00.000000000,1845.00,300,1855.00,300,04:11:24.313841581,1852.00,19,04:11:00.000000000,1845.00,300,04:11:00.000000000,1855.00,300,04:11:24.313841581,1852.00,19,04:11:00.000000000,1845.00,300,04:11:00.000000000,1855.00,300,04:11:24.313841581,1852.00,19,04:11:59.999999999,1845.00,300,1855.00,300,04:11:43.746793042,1852.00,1,10.00,10.00,,1852.00,0,0,0,0,20,0,0,20,2,0,,0,19,0,1,0,200.00,0.20,1845.00,1855.00
20200130,AMZN,04:12,04:12:00.000000000,1845.00,300,1855.00,300,,,,04:12:00.000000000,1845.00,300,04:12:00.000000000,1855.00,300,,,,04:12:00.000000000,1845.00,300,04:12:00.000000000,1855.00,300,,,,04:12:59.999999999,1845.00,300,1855.00,300,,,,10.00,10.00,,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,,1845.00,1855.00
