Ticker,TimeBarStart,HighTradePrice,HighTradeSize,LowTradePrice,LowTradeSize,Volume
AMZN,09:30,1860.7697,3.0,1856.0,3.0,74342
AMZN,09:31,1862.0,2.0,1857.96,20.0,12042
AMZN,09:32,1861.5,1.0,1857.0,2.0,9373
AMZN,09:33,1864.62,9.0,1859.58,50.0,8521
AMZN,09:34,1866.62,50.0,1863.6201,6.0,19794
AMZN,09:35,1866.43,18.0,1863.0952,3.0,8259
AMZN,09:36,1870.6,13.0,1864.99,10.0,20713
AMZN,09:37,1870.59,10.0,1868.02,20.0,7470
AMZN,09:38,1869.96,11.0,1865.5701,5.0,6512
AMZN,09:39,1869.427,2.0,1866.125,100.0,9148
AMZN,09:40,1870.0,10.0,1866.3039,1.0,11427
AMZN,09:41,1868.89,4.0,1866.28,1.0,10555
AMZN,09:42,1868.62,800.0,1865.5,10.0,9409
AMZN,09:43,1868.33,2.0,1865.28,1.0,8475
AMZN,09:44,1867.47,1.0,1864.8057,1.0,7118
AMZN,09:45,1868.0,5.0,1865.3001,2.0,12559
AMZN,09:46,1867.43,1.0,1864.0,1.0,4388
AMZN,09:47,1866.794,80.0,1863.69,1.0,8373
AMZN,09:48,1866.77,1.0,1864.205,10.0,3491
AMZN,09:49,1866.2799,5.0,1861.55,10.0,14054
AMZN,09:50,1864.58,21.0,1861.55,50.0,3089
AMZN,09:51,1863.98,100.0,1862.07,1.0,5187
AMZN,09:52,1865.0,5.0,1862.2,1.0,9458
AMZN,09:53,1863.1475,5.0,1860.1,1.0,7674
AMZN,09:54,1862.35,24.0,1860.01,1.0,4350
AMZN,09:55,1863.64,37.0,1861.564,4.0,6706
AMZN,09:56,1863.64,4.0,1861.16,48.0,5189
AMZN,09:57,1862.48,1.0,1860.27,20.0,4531
AMZN,09:58,1861.79,1.0,1858.8,1.0,8122
AMZN,09:59,1860.565,100.0,1857.02,61.0,12202
AMZN,10:00,1858.3703,1.0,1854.4,5.0,15231
AMZN,10:01,1859.66,18.0,1857.52,10.0,5056
AMZN,10:02,1858.91,6.0,1857.9054,6.0,2938
AMZN,10:03,1860.4299,1.0,1858.04,5.0,9811
AMZN,10:04,1861.54,2.0,1859.113,62.0,4564
AMZN,10:05,1863.33,40.0,1860.7487,4.0,7905
AMZN,10:06,1862.4799,1.0,1860.41,3.0,2946
AMZN,10:07,1862.35,7.0,1860.0,100.0,2583
AMZN,10:08,1863.801,200.0,1861.82,25.0,4153
AMZN,10:09,1864.5,1.0,1862.38,40.0,7067
AMZN,10:10,1864.15,100.0,1861.97,25.0,4183
AMZN,10:11,1864.66,55.0,1862.35,41.0,8253
AMZN,10:12,1863.7004,1.0,1859.84,1.0,5720
AMZN,10:13,1862.76,1.0,1860.342,1.0,2508
AMZN,10:14,1863.0,1.0,1860.965,4.0,5641
AMZN,10:15,1862.6325,15.0,1859.21,20.0,4787
AMZN,10:16,1862.1453,7.0,1859.43,3.0,1924
AMZN,10:17,1860.92,4.0,1859.0,10.0,3481
AMZN,10:18,1860.89,10.0,1858.02,5.0,3512
AMZN,10:19,1860.1652,23.0,1858.2,17.0,7177
AMZN,10:20,1860.6195,1.0,1859.45,200.0,3638
AMZN,10:21,1860.37,43.0,1858.22,70.0,4394
AMZN,10:22,1860.44,34.0,1858.8,1.0,3461
AMZN,10:23,1859.7799,10.0,1858.1,50.0,2917
AMZN,10:24,1860.0,2.0,1858.1,1.0,4611
AMZN,10:25,1861.0,1.0,1859.0,5.0,3221
AMZN,10:26,1860.0,1300.0,1858.34,10.0,3090
AMZN,10:27,1860.648,5.0,1858.5201,30.0,1801
AMZN,10:28,1861.6,1.0,1860.09,50.0,3155
AMZN,10:29,1861.78,10.0,1860.8179,100.0,3432
AMZN,10:30,1861.6,1.0,1858.81,5.0,4792
AMZN,10:31,1861.0,1.0,1858.83,5.0,2745
AMZN,10:32,1859.81,49.0,1858.52,2.0,1657
AMZN,10:33,1860.39,50.0,1858.75,28.0,5214
AMZN,10:34,1860.89,10.0,1859.01,4.0,2645
AMZN,10:35,1859.8842,1.0,1858.0,2.0,6958
AMZN,10:36,1859.0,5.0,1857.71,4.0,3319
AMZN,10:37,1858.8799,3.0,1857.5401,1.0,3146
AMZN,10:38,1859.18,100.0,1857.52,100.0,6379
AMZN,10:39,1858.8699,5.0,1857.16,10.0,3680
AMZN,10:40,1858.8699,4.0,1857.01,2.0,6966
AMZN,10:41,1858.0061,56.0,1855.1,1.0,8194
AMZN,10:42,1858.0,5.0,1855.32,3.0,4161
AMZN,10:43,1857.6099,1.0,1855.52,27.0,2433
AMZN,10:44,1857.609,100.0,1855.1,10.0,6648
AMZN,10:45,1855.9299,5.0,1853.5993,1.0,9766
AMZN,10:46,1855.9299,1.0,1853.58,10.0,3283
AMZN,10:47,1855.55,42.0,1854.0739,2.0,2463
AMZN,10:48,1856.6434,1.0,1854.25,75.0,2147
AMZN,10:49,1856.61,7.0,1854.7927,29.0,1238
AMZN,10:50,1856.3399,14.0,1854.889,11.0,3206
AMZN,10:51,1855.87,1.0,1854.41,3.0,5503
AMZN,10:52,1855.5,2.0,1854.0,2.0,3341
AMZN,10:53,1855.2917,13.0,1853.11,43.0,3009
AMZN,10:54,1854.9957,11.0,1851.0,1.0,8680
AMZN,10:55,1854.0335,6.0,1850.55,50.0,4827
AMZN,10:56,1853.18,10.0,1850.8001,2.0,2022
AMZN,10:57,1855.89,5.0,1851.94,1.0,7140
AMZN,10:58,1855.48,16.0,1852.0,10.0,4238
AMZN,10:59,1853.42,1.0,1851.11,5.0,1554
AMZN,11:00,1854.0336,5.0,1851.0,77.0,3210
AMZN,11:01,1853.9999,7.0,1852.45,1.0,2480
AMZN,11:02,1854.33,10.0,1852.5701,3.0,1439
AMZN,11:03,1854.58,1.0,1853.08,5.0,3110
AMZN,11:04,1853.79,10.0,1852.57,100.0,7692
AMZN,11:05,1854.8,1.0,1852.86,100.0,4918
AMZN,11:06,1855.5,140.0,1853.68,10.0,2349
AMZN,11:07,1855.48,1.0,1853.2,7.0,1599
AMZN,11:08,1854.4299,1.0,1852.99,5.0,1219
AMZN,11:09,1854.0,1.0,1852.57,1.0,2176
AMZN,11:10,1856.0,10.0,1852.65,20.0,4342
AMZN,11:11,1856.48,40.0,1854.75,5.0,2764
AMZN,11:12,1856.2112,5.0,1854.495,1.0,3190
AMZN,11:13,1855.62,3.0,1854.43,100.0,1272
AMZN,11:14,1855.93,2.0,1854.42,25.0,3171
AMZN,11:15,1855.8799,5.0,1853.21,9.0,3753
AMZN,11:16,1854.0426,5.0,1851.79,5.0,5427
AMZN,11:17,1853.0568,15.0,1850.7301,35.0,11817
AMZN,11:18,1852.8468,2.0,1850.51,1.0,3398
AMZN,11:19,1852.5349,12.0,1850.5039,8.0,3572
AMZN,11:20,1852.99,100.0,1851.6212,2.0,3186
AMZN,11:21,1852.89,2.0,1851.28,15.0,3478
